phase,mag
0.0,-1.8282080470582889
0.001,-1.8382526057484436
0.002,-1.8466014480037636
0.003,-1.8533250376476522
0.004,-1.858493838503512
0.005,-1.8621783143947432
0.006,-1.8644489291447546
0.007,-1.865376146576946
0.008,-1.8650304305147227
0.009000000000000001,-1.8634822447814858
0.01,-1.8608020532006408
0.011,-1.8570603195955908
0.012,-1.8523275077897345
0.013000000000000001,-1.846674081606484
0.014,-1.8401705048692345
0.015,-1.8328872414013924
0.016,-1.8248947550263626
0.017,-1.8162635095675452
0.018000000000000002,-1.8070639688483463
0.019,-1.797366596692167
0.02,-1.787241856922411
0.021,-1.7767602133624818
0.022,-1.7659921298357848
0.023,-1.7550080701657231
0.024,-1.7438784981756972
0.025,-1.7326738776906478
0.026000000000000002,-1.7234725513714027
0.027,-1.7151319149531805
0.028,-1.707937495824667
0.029,-1.7017775531451105
0.03,-1.6954039728757766
0.031,-1.685399325189121
0.032,-1.672088295929961
0.033,-1.6602281134740808
0.034,-1.6513778636231007
0.035,-1.6448061419658566
0.036000000000000004,-1.6401626977416486
0.037,-1.6369821344038553
0.038,-1.6339279067167765
0.039,-1.6318653161913899
0.04,-1.6304497262017696
0.041,-1.6288557180567842
0.042,-1.6264883064747546
0.043000000000000003,-1.6228607233608716
0.044,-1.614372101785787
0.045,-1.604522827516236
0.046,-1.5935549522386159
0.047,-1.5817817594490466
0.048,-1.5689691047614156
0.049,-1.5595768950746274
0.05,-1.5456976070242137
0.051000000000000004,-1.5334987461633576
0.052000000000000005,-1.522134935058987
0.053,-1.5116090667831563
0.054,-1.5041027527489694
0.055,-1.4973983525991308
0.056,-1.4927237482240896
0.057,-1.4895391522085422
0.058,-1.4879883835722452
0.059000000000000004,-1.487246061752454
0.06,-1.4855335487862091
0.061,-1.4805295134583203
0.062,-1.472469997714341
0.063,-1.4663749508895445
0.064,-1.4615903310056795
0.065,-1.460936069704099
0.066,-1.4632562721149505
0.067,-1.4654607431953823
0.068,-1.4638695760087839
0.069,-1.4583446520834835
0.07,-1.4524518581887564
0.07100000000000001,-1.4473418122155215
0.07200000000000001,-1.4420204577511797
0.073,-1.4359849951412924
