phase,mag
0.0,1.2521981110423097
0.001,1.2547897937631431
0.002,1.2565570385820006
0.003,1.2575184726008106
0.004,1.2576927229215011
0.005,1.2570984166460026
0.006,1.2557541808762407
0.007,1.253678642714144
0.008,1.250890429261641
0.009000000000000001,1.2474081676206612
0.01,1.2432504848931314
0.011,1.238436008180979
0.012,1.2329833645861359
0.013000000000000001,1.2269111812105276
0.014,1.2202380851560806
0.015,1.2129827035247263
0.016,1.2051636634183924
0.017,1.1967995919390058
0.018000000000000002,1.1879091161884965
0.019,1.1785108632687928
0.02,1.1686234602818177
0.021,1.1582655343295072
0.022,1.1474557125137856
0.023,1.13621262193658
0.024,1.1245548896998223
0.025,1.1125011429041083
0.026000000000000002,1.1000413760905894
0.027,1.0863359765013003
0.028,1.073107811017682
0.029,1.0598719955628995
0.03,1.047166089030444
0.031,1.0353599929444512
0.032,1.0234512155176614
0.033,1.0112863541979027
0.034,0.9977975006543518
0.035,0.9831275702343275
0.036000000000000004,0.9688578241485466
0.037,0.955386444445812
0.038,0.9408438734832196
0.039,0.9247260414676807
0.04,0.9079651312842016
0.041,0.8904890759192929
0.042,0.8723090393105929
0.043000000000000003,0.853537071814042
0.044,0.8321347169145615
0.045,0.8092445074764197
0.046,0.7861584808753421
0.047,0.763068301664404
0.048,0.7398009774242327
0.049,0.7160679526854458
0.05,0.6916186748705435
0.051000000000000004,0.6661928673571815
0.052000000000000005,0.6427072651662624
0.053,0.6193087080395325
0.054,0.5953519006259258
0.055,0.5714874762281956
0.056,0.5486056299433673
0.057,0.5242214089176541
0.058,0.49879152554992096
0.059000000000000004,0.4734871294212239
0.06,0.4479894216272416
0.061,0.42229168672380624
0.062,0.3959614983153343
0.063,0.3694918158695392
0.064,0.34183473392102154
0.065,0.3135982168073523
0.066,0.28476663110281936
0.067,0.25600520321959347
0.068,0.22654376244971286
0.069,0.19710338950789735
0.07,0.16765059516969918
0.07100000000000001,0.13827648981843135
0.07200000000000001,0.10833218441176184
0.073,0.07718462485522141
0.074,0.04477560065779434
0.075,0.012046535119196712
0.076,-0.021059028255711838
0.077,-0.055494219929269825
0.078,-0.09142959634288744
0.079,-0.12711214472642474
0.08,-0.16344377274784866
0.081,-0.20145833182188216
0.082,-0.24046233848929272
0.083,-0.27800368538333114
0.084,-0.3156080548785216
0.085,-0.3527751015219637
0.08600000000000001,-0.38893410391075395
0.08700000000000001,-0.42583187581378956
0.088,-0.46308849229244586
0.089,-0.4995925843207837
0.09,-0.5329322555701314
0.091,-0.5657241124826904
0.092,-0.597121759124048
0.093,-0.6276498308579851
0.094,-0.658356365611561
0.095,-0.6896989204106353
0.096,-0.7174582018600573
0.097,-0.7458184156141554
0.098,-0.7746592156486329
0.099,-0.8015506658448828
0.1,-0.8272853306164091
0.101,-0.8519866687484545
0.10200000000000001,-0.8751567420489895
0.10300000000000001,-0.8995354372180037
0.10400000000000001,-0.9239581711214834
0.105,-0.9473916515175844
0.106,-0.9700600164691502
0.107,-0.9931623221704701
0.108,-1.0148455820380304
0.109,-1.0357136953092207
0.11,-1.0556232535348695
0.111,-1.07521062668245
0.112,-1.096913319212747
0.113,-1.1170248104094955
0.114,-1.1369007574023984
0.115,-1.1573540488503622
0.116,-1.1786658182285188
0.117,-1.2002599950446058
0.11800000000000001,-1.2223263588415123
0.11900000000000001,-1.2443487431732851
0.12,-1.2662116115922142
0.121,-1.2865579167761614
0.122,-1.3070633843950774
0.123,-1.3263118616004288
0.124,-1.3452814639462
0.125,-1.3642515937204982
0.126,-1.383438746908767
0.127,-1.4022485210869486
0.128,-1.420760891646594
0.129,-1.4374620607550859
0.13,-1.453530848583536
0.131,-1.4701585095182415
0.132,-1.4872828251112298
0.133,-1.5039491357051549
0.134,-1.5211574639049743
0.135,-1.538577753636395
0.136,-1.555181974838063
0.137,-1.570273389759524
0.138,-1.5825026630545285
0.139,-1.5941693620213735
0.14,-1.606057346271904
0.14100000000000001,-1.6186911544787665
0.14200000000000002,-1.6317050214374826
0.14300000000000002,-1.645808114527288
0.14400000000000002,-1.6613528733392744
0.145,-1.6771861678711404
0.146,-1.689888618558355
0.147,-1.7038347383102714
0.148,-1.716652994510209
0.149,-1.7276037823120907
0.15,-1.7386644646936733
0.151,-1.7495685205574294
0.152,-1.7594162211813824
0.153,-1.7672953903294681
0.154,-1.7743677115858372
0.155,-1.7800701582924285
0.156,-1.7864242343877037
0.157,-1.7932577190181944
0.158,-1.7992850962966538
0.159,-1.80532318921867
0.16,-1.8109291466028012
0.161,-1.8161964779835407
0.162,-1.8215100045074326
0.163,-1.8244853314923424
0.164,-1.8283425832999984
0.165,-1.831482613724484
0.166,-1.8334247795383303
0.167,-1.8344417745098895
0.168,-1.8349561905544092
0.169,-1.835183369214779
0.17,-1.8339618022419315
0.171,-1.8320410196833083
0.17200000000000001,-1.8325641314847214
0.17300000000000001,-1.8325716708655775
0.17400000000000002,-1.833801154736872
0.17500000000000002,-1.8362109012167427
0.176,-1.8387840835084137
0.177,-1.8407459641617645
0.178,-1.8420888021036668
0.179,-1.842143503881529
0.18,-1.8428161435392862
0.181,-1.845653068857106
0.182,-1.848562480571166
0.183,-1.8502268493421266
0.184,-1.8504159481822202
0.185,-1.8512857277650856
0.186,-1.8521007618050145
0.187,-1.8526160531045395
0.188,-1.8536963434892515
0.189,-1.8553453647097755
0.19,-1.856814294303803
0.191,-1.8577674372443038
0.192,-1.8577799491678135
0.193,-1.8572261309560167
0.194,-1.8560562476125493
0.195,-1.8536323358033537
0.196,-1.85079446309118
0.197,-1.8482405799737711
0.198,-1.845383379398709
0.199,-1.8411303298269093
0.2,-1.8363237561069947
0.201,-1.8318408719576078
0.202,-1.8264294724385994
0.203,-1.8201921858715306
0.20400000000000001,-1.8150666177551933
0.20500000000000002,-1.8094277910874879
0.20600000000000002,-1.8043362225354191
0.20700000000000002,-1.7982461258244873
0.20800000000000002,-1.7910828568852137
0.209,-1.7830394672349084
0.21,-1.7751042070616676
0.211,-1.7673112551818466
