phase,mag
0.0,-0.6084344922561142
0.001,-0.6359272033879867
0.002,-0.6635260940836465
0.003,-0.6912071772744354
0.004,-0.7189464658916908
0.005,-0.7467199728667577
0.006,-0.7745037111309749
0.007,-0.802273693615685
0.008,-0.8300059332522287
0.009000000000000001,-0.8576764429719459
0.01,-0.8852612357061787
0.011,-0.9127363243862691
0.012,-0.9400777219435568
0.013000000000000001,-0.9672614413093832
0.014,-0.9942634954150895
0.015,-1.0210598971920168
0.016,-1.0476266595715085
0.017,-1.0739397954849015
0.018000000000000002,-1.0999753178635399
0.019,-1.125709239638764
0.02,-1.1511175737419133
0.021,-1.1761763331043322
0.022,-1.2008615306573593
0.023,-1.2251491793323375
0.024,-1.2490152920606052
0.025,-1.2724358817749324
0.026000000000000002,-1.288051973007722
0.027,-1.3041118806558853
0.028,-1.3209665228162109
0.029,-1.339400106723947
0.03,-1.3574239797458332
0.031,-1.3766910320449208
0.032,-1.3970244002263403
0.033,-1.4198250763792555
0.034,-1.4400448948630409
0.035,-1.4607633971962743
0.036000000000000004,-1.4811884343453978
0.037,-1.5007358526848105
0.038,-1.5205133292765012
0.039,-1.539015868986894
0.04,-1.556541751267757
0.041,-1.5746507029079448
0.042,-1.592811470016091
0.043000000000000003,-1.6115596232245122
0.044,-1.6264670376339632
0.045,-1.638674092200595
0.046,-1.6526295637827009
0.047,-1.667025108054245
0.048,-1.6788445325020025
0.049,-1.6884844778236603
0.05,-1.6949218922136755
0.051000000000000004,-1.69943773403164
0.052000000000000005,-1.7063312028508464
0.053,-1.7146370909359583
0.054,-1.7234467796565265
0.055,-1.7340980157327106
0.056,-1.7455797213866366
0.057,-1.7561933815857163
0.058,-1.7663506059211271
0.059000000000000004,-1.7770227895221282
0.06,-1.788473164576515
0.061,-1.7986041126067984
0.062,-1.8077761467106312
0.063,-1.8184043884864176
0.064,-1.8289467453536492
0.065,-1.8387357094490482
0.066,-1.8463487836373647
0.067,-1.8539149780405804
0.068,-1.8629454215529304
0.069,-1.872765750235207
0.07,-1.8802670410353521
0.07100000000000001,-1.8840388198545597
0.07200000000000001,-1.8880045571632855
0.073,-1.8904570421097877
0.074,-1.8904678001404367
0.075,-1.8910016898527087
0.076,-1.8906366841955793
0.077,-1.8904055463346676
0.078,-1.8891107052532563
0.079,-1.889144424207829
0.08,-1.8896270215361912
0.081,-1.8922382847606862
0.082,-1.896992665449648
0.083,-1.9032639593773506
0.084,-1.908355903034136
0.085,-1.9138793981131426
0.08600000000000001,-1.9186860760863278
0.08700000000000001,-1.9203339142880618
0.088,-1.923808381622455
0.089,-1.926803915056522
0.09,-1.9282203169683674
0.091,-1.9287410011872173
0.092,-1.928771616645406
0.093,-1.9276544779402702
0.094,-1.9280304020873882
0.095,-1.9286099069442688
0.096,-1.9291313476130065
0.097,-1.9283079288119453
0.098,-1.9282168651769307
0.099,-1.927858608855742
0.1,-1.9271037434844207
0.101,-1.9280595115170613
0.10200000000000001,-1.927493853996145
0.10300000000000001,-1.9263761444796001
0.10400000000000001,-1.9244775882010114
0.105,-1.9216920146031435
0.106,-1.917808476691306
0.107,-1.9136503033986625
0.108,-1.9093043142030093
0.109,-1.9043979381046499
0.11,-1.8996247499482346
0.111,-1.8948377480803855
0.112,-1.8897039097713548
0.113,-1.8844535778607079
0.114,-1.878275182187098
0.115,-1.8729885622882323
0.116,-1.8677132317609029
0.117,-1.862345344335129
0.11800000000000001,-1.8542862141040817
0.11900000000000001,-1.8434794692032908
0.12,-1.8303122631168574
0.121,-1.8162727248330812
0.122,-1.8055567810582915
0.123,-1.7957173069516055
0.124,-1.787447956669868
0.125,-1.780292117815592
0.126,-1.7733142411311076
0.127,-1.767036788319685
0.128,-1.7602164637696927
0.129,-1.7524772567003264
0.13,-1.744164435944689
0.131,-1.7365849791191148
0.132,-1.7281331770261983
0.133,-1.7175841020220237
0.134,-1.7049065223293065
0.135,-1.6908599093342556
0.136,-1.6781805732068507
0.137,-1.663840377245014
0.138,-1.652396783317305
0.139,-1.642936409156271
0.14,-1.6332891682048296
