phase,mag
0.0,-0.5431677805556967
0.001,-0.5548070950002052
0.002,-0.5649775827580513
0.003,-0.573733781932123
0.004,-0.5811302306253143
0.005,-0.5872214669405149
0.006,-0.592062028980618
0.007,-0.5957064548485123
0.008,-0.5982092826470885
0.009000000000000001,-0.5996250504792392
0.01,-0.6000082964478549
0.011,-0.5994135586558275
0.012,-0.5978953752060466
0.013000000000000001,-0.5955082842014036
0.014,-0.5923068237447897
0.015,-0.5883455319390959
0.016,-0.5836789468872142
0.017,-0.5783616066920334
0.018000000000000002,-0.5724480494564463
0.019,-0.5659928132833446
0.02,-0.5590504362756187
0.021,-0.5516754565361585
0.022,-0.5439224121678562
0.023,-0.5358458412736018
0.024,-0.5275002819562858
0.025,-0.5189402723200852
0.026000000000000002,-0.5131721207963302
0.027,-0.5035387434515205
0.028,-0.4942529365746733
0.029,-0.48527797996762734
0.03,-0.47608264975209774
0.031,-0.46687575987324426
0.032,-0.45822265423125436
0.033,-0.45047198265001864
0.034,-0.44342666208460996
0.035,-0.43797838646519
0.036000000000000004,-0.4341852609170022
0.037,-0.4309515498543277
0.038,-0.427643272806638
0.039,-0.4240511494135205
0.04,-0.419798549652208
0.041,-0.41479124202540524
0.042,-0.409147124706085
0.043000000000000003,-0.40349925057649105
0.044,-0.3978430860600834
0.045,-0.39109086865481946
0.046,-0.3837387987025417
0.047,-0.3773418080805553
0.048,-0.37168217465896725
0.049,-0.366993384306871
0.05,-0.36231090369286767
0.051000000000000004,-0.3574084778888586
0.052000000000000005,-0.35218463337030403
0.053,-0.34601065635585865
0.054,-0.3401399840922937
0.055,-0.33486379676807193
0.056,-0.32932286016737755
0.057,-0.32341117067391284
0.058,-0.3182635407173412
0.059000000000000004,-0.3110342554211826
0.06,-0.30563011318712163
0.061,-0.2998947446690483
0.062,-0.29293315603937103
0.063,-0.28574373214693466
0.064,-0.27847172689323807
0.065,-0.2723628009597521
0.066,-0.26556186879606286
0.067,-0.2580502337051333
0.068,-0.25040038041305085
0.069,-0.24405381377990146
0.07,-0.23910878244026554
0.07100000000000001,-0.2341608017571655
0.07200000000000001,-0.22885779453627234
0.073,-0.223452075182537
0.074,-0.21780641118113214
0.075,-0.2111680857502649
0.076,-0.20295570587403383
0.077,-0.19455148911357617
0.078,-0.18666061342689672
0.079,-0.17897904007313925
0.08,-0.17252157606980925
0.081,-0.16595678215618467
0.082,-0.15947922824171126
0.083,-0.15173268778040114
0.084,-0.14531767261584885
0.085,-0.14079042610324113
0.08600000000000001,-0.13619583706759106
0.08700000000000001,-0.1307040787306964
0.088,-0.1253197217491285
0.089,-0.1201397960201029
0.09,-0.1153278585098968
0.091,-0.10995517882224118
0.092,-0.10513608163528533
0.093,-0.10296747358982984
0.094,-0.10284032702756929
0.095,-0.10387217803381187
0.096,-0.10508911297714871
0.097,-0.10656475103861028
0.098,-0.10836714354466606
0.099,-0.1107112114993919
0.1,-0.11291399835292858
0.101,-0.11373053560267966
0.10200000000000001,-0.11455319791464558
0.10300000000000001,-0.11501776304340339
0.10400000000000001,-0.11565434348010559
0.105,-0.11674223581280947
0.106,-0.11620840912758236
