phase,mag
0.0,-0.8810311503698507
0.001,-0.8749354955389488
0.002,-0.8687829930860667
0.003,-0.8625828105015325
0.004,-0.8563441152756721
0.005,-0.8500760748988098
0.006,-0.8437878568612754
0.007,-0.8374886286533925
0.008,-0.8311875577654906
0.009000000000000001,-0.8248938116878936
0.01,-0.8186165579109308
0.011,-0.8123649639249256
0.012,-0.8061481972202075
0.013000000000000001,-0.7999754252871013
0.014,-0.7938558156159339
0.015,-0.7877985356970316
0.016,-0.7818127530207241
0.017,-0.775907635077332
0.018000000000000002,-0.7700923493571865
0.019,-0.7643760633506139
0.02,-0.7587679445479394
0.021,-0.7532771604394894
0.022,-0.74791287851559
0.023,-0.7426842662665694
0.024,-0.7376004911827558
0.025,-0.7326707207556942
0.026000000000000002,-0.7310889110725959
0.027,-0.7280238941781321
0.028,-0.7231036973681281
0.029,-0.7177804887623382
0.03,-0.7135166330652386
0.031,-0.7104723017240334
0.032,-0.7075892898668669
0.033,-0.7040723985462297
0.034,-0.700003229543934
0.035,-0.6955999126866468
0.036000000000000004,-0.6908954030978802
0.037,-0.6871818759979328
0.038,-0.685019727145908
0.039,-0.6832501287245749
0.04,-0.6812967906510039
0.041,-0.6803535712096181
0.042,-0.6789024502689495
0.043000000000000003,-0.6779033820892717
0.044,-0.6769844724870331
0.045,-0.676519596005211
0.046,-0.6749461059259452
0.047,-0.6726918847300557
0.048,-0.6706975941718942
0.049,-0.6671722657652811
0.05,-0.6635888534149851
0.051000000000000004,-0.6566962720450469
0.052000000000000005,-0.6479889064155772
0.053,-0.6393771683538709
0.054,-0.6318306236355032
0.055,-0.6233554926908408
0.056,-0.6136102680822857
0.057,-0.604977185977551
0.058,-0.5958816280309507
0.059000000000000004,-0.5856911123273758
0.06,-0.5747448011823396
0.061,-0.5630316937296403
0.062,-0.5522695191983001
0.063,-0.5423669463369635
0.064,-0.5304283179609468
0.065,-0.5185225844017257
0.066,-0.5085055563058937
0.067,-0.5017076895648904
0.068,-0.495154214810325
0.069,-0.48913319938799965
0.07,-0.483336084801402
0.07100000000000001,-0.47712625561739713
0.07200000000000001,-0.4701694612230385
0.073,-0.4617918785638592
0.074,-0.4547417773008188
0.075,-0.44596024202436246
0.076,-0.4374981744529257
0.077,-0.429731193685306
0.078,-0.42265144311758995
0.079,-0.41629646236991497
0.08,-0.41001319588300894
0.081,-0.401948888757442
0.082,-0.3938102916338147
0.083,-0.387183923585537
0.084,-0.38241759632128686
0.085,-0.37917873993569
0.08600000000000001,-0.37711762408001964
0.08700000000000001,-0.3756227938091792
0.088,-0.37401678690424867
0.089,-0.37078950867148763
0.09,-0.3666000207474856
0.091,-0.36226978088407635
0.092,-0.3572188453629399
0.093,-0.3531665386967729
0.094,-0.34868304249172627
0.095,-0.3447747552844981
0.096,-0.33968842069317384
0.097,-0.3344379107308491
0.098,-0.328060767508206
0.099,-0.3202674589761191
0.1,-0.3145345231660101
0.101,-0.3090937635866464
0.10200000000000001,-0.3039676655956948
0.10300000000000001,-0.29871724160540997
0.10400000000000001,-0.292816813894254
0.105,-0.2849765570298588
0.106,-0.27750084938462893
0.107,-0.2719081425632575
0.108,-0.26553799900750713
0.109,-0.2590895338343532
0.11,-0.2517656276614515
0.111,-0.24505625338103812
0.112,-0.23946256015144318
0.113,-0.23285257248336144
0.114,-0.22711681057329006
0.115,-0.2232711511755473
0.116,-0.220215783551053
0.117,-0.21673221239246085
0.11800000000000001,-0.2126279022105603
0.11900000000000001,-0.21031040630068845
0.12,-0.20716074260512785
0.121,-0.2034301768998657
0.122,-0.19974797356179125
0.123,-0.19495232989275024
0.124,-0.1909096714354779
0.125,-0.1874387591862105
0.126,-0.18556299838771514
0.127,-0.18393433630176909
0.128,-0.18173635521519169
0.129,-0.1797861667877634
0.13,-0.17709544583332337
0.131,-0.17439585627533394
0.132,-0.1732385479546471
0.133,-0.17183601880634014
0.134,-0.1696210618239823
0.135,-0.1679367461644019
0.136,-0.16487951075591145
0.137,-0.16227593958043765
0.138,-0.15932931099391356
0.139,-0.15658225330993586
0.14,-0.15362224139493524
0.14100000000000001,-0.14974376534279835
0.14200000000000002,-0.1458591005888454
0.14300000000000002,-0.14189328902298493
0.14400000000000002,-0.1380968598309075
0.145,-0.13461591154670483
0.146,-0.12858404052329062
0.147,-0.1213781311854097
0.148,-0.11418653296647333
0.149,-0.10698173761777026
0.15,-0.10035066342559261
0.151,-0.0933312342168397
0.152,-0.08569229925611604
0.153,-0.07878475807074418
0.154,-0.07324271373391761
0.155,-0.06809740645001654
0.156,-0.0637477779691496
0.157,-0.06022696549473919
0.158,-0.056819911475783566
0.159,-0.053860617010153045
0.16,-0.05092213328007772
0.161,-0.04859529834910209
0.162,-0.045036410246789386
0.163,-0.04184648393297619
0.164,-0.03961986352687166
0.165,-0.03727439448062742
0.166,-0.03492721481449093
0.167,-0.033005496637731314
0.168,-0.030270693076031578
0.169,-0.026284912415778745
0.17,-0.01993187126279431
0.171,-0.01284737069186723
0.17200000000000001,-0.005910971107808439
0.17300000000000001,0.0012257645387351362
0.17400000000000002,0.0073561204566363276
0.17500000000000002,0.013245341143302733
0.176,0.019362983120231363
0.177,0.025247926274094643
0.178,0.030535838281180488
0.179,0.03468892279361205
0.18,0.039110204428931816
0.181,0.0440844033094857
0.182,0.0497176740018488
0.183,0.055498563005832585
0.184,0.060527231699230986
0.185,0.06541235606058343
0.186,0.07212688062705443
0.187,0.07787663728280307
0.188,0.0845052211852089
0.189,0.09079352567160166
0.19,0.09814280156582454
0.191,0.10626463824458016
0.192,0.11304575341585846
0.193,0.1197309199102118
0.194,0.12653977973753733
0.195,0.1330981168922946
0.196,0.13956220316741272
0.197,0.14595098089360137
0.198,0.1520534498452786
0.199,0.15768935037731546
0.2,0.16236522034325498
0.201,0.1664731611177391
0.202,0.1688851499950096
0.203,0.1709540412114848
0.20400000000000001,0.17235684311032706
0.20500000000000002,0.17492392467329446
0.20600000000000002,0.17641011536158838
0.20700000000000002,0.17667392355822992
0.20800000000000002,0.17723547611943494
0.209,0.17803476390392337
0.21,0.1807484493363843
0.211,0.18492984942988125
0.212,0.1903302580378802
0.213,0.19551947612054935
0.214,0.20140385339030875
0.215,0.20756757723476169
0.216,0.21359666645718878
0.217,0.22071327380003924
0.218,0.2283367173480165
0.219,0.23544363973480775
0.22,0.24147407297314494
0.221,0.24666079314173744
0.222,0.25009635004458597
0.223,0.2533513478851408
0.224,0.2559411634827102
0.225,0.2577333674835668
0.226,0.260807962744306
0.227,0.2635731968759054
0.228,0.26624165023911844
0.229,0.2688878886352695
0.23,0.27239346637296197
0.231,0.2771236640449647
0.232,0.2821054858287918
0.233,0.2877556950532092
0.234,0.2940603625736732
0.23500000000000001,0.29926252553562616
0.23600000000000002,0.3039970000856383
0.23700000000000002,0.3079282312812341
0.23800000000000002,0.3118902070835838
0.23900000000000002,0.3160404996485439
0.24,0.3212608767812056
0.241,0.3259952135663633
0.242,0.3296438421928146
0.243,0.33412764356037983
0.244,0.3389560089696989
0.245,0.3435905909175623
0.246,0.3478884524543904
0.247,0.3517871581796147
0.248,0.35461225980921923
0.249,0.35690980989188126
0.25,0.35874963974384705
0.251,0.36053861274895144
0.252,0.3624474967744895
0.253,0.3653007608033052
0.254,0.36767573396431596
0.255,0.3703139145593476
0.256,0.3718362783099688
0.257,0.3739518156280243
0.258,0.37731691520556315
0.259,0.38136271746357653
0.26,0.38675639336649326
0.261,0.39256823180667705
0.262,0.398588271527419
0.263,0.4030535435830059
0.264,0.4070408814853263
0.265,0.4113851827676951
0.266,0.41482307693443127
0.267,0.41865868875016665
0.268,0.4210122912484623
0.269,0.42257949020673474
0.27,0.4243991210547721
0.271,0.42735448491681066
0.272,0.43088270860218436
0.273,0.43461929459946025
0.274,0.4383919377206214
0.275,0.44276315096556346
0.276,0.44767140270706407
0.277,0.4503931843749414
0.278,0.4546471833358036
0.279,0.45876369404562667
0.28,0.4636985194256036
0.281,0.4694598095385507
0.28200000000000003,0.47468273169209074
0.28300000000000003,0.4798749956270666
0.28400000000000003,0.4846365471597023
0.28500000000000003,0.4886094367542412
0.28600000000000003,0.49398757160159357
0.28700000000000003,0.5000540128748303
0.28800000000000003,0.5052411793891622
0.289,0.5100876440728399
0.29,0.5147713981545086
0.291,0.5185525027218408
0.292,0.522003086129867
0.293,0.5252194688135892
0.294,0.5264108844905616
0.295,0.5275339918230358
0.296,0.5269257274277677
0.297,0.5274306330473233
0.298,0.5288419373654614
0.299,0.5306493287745976
0.3,0.5328102826607933
0.301,0.5351329186822404
0.302,0.5375462522986273
0.303,0.5396714013145466
0.304,0.542183242015716
0.305,0.5449262280392735
0.306,0.5485833538375064
0.307,0.5530063481396245
0.308,0.5585073573752787
0.309,0.5643281263042763
0.31,0.5697216909510685
0.311,0.5750908914821206
0.312,0.5799002599020698
0.313,0.5838187690385129
0.314,0.5870338173406647
0.315,0.5907588547216229
0.316,0.5936126364192323
0.317,0.596357688259329
0.318,0.5986010285616392
0.319,0.6012020711269855
0.32,0.6039213768124896
0.321,0.6051061853503054
0.322,0.6068960660684984
0.323,0.6082241644008395
0.324,0.609989259087388
0.325,0.6116140223923947
0.326,0.613182342561826
0.327,0.616277694629662
0.328,0.6203454676848017
0.329,0.6230757340819548
0.33,0.6264594237287471
0.331,0.6302365366177621
0.332,0.6334398569493129
0.333,0.637333286987228
0.334,0.6408090473318333
0.335,0.6434948951133975
0.336,0.6449694520053689
0.337,0.6461231951750466
0.338,0.6461272805660402
0.339,0.64622710725803
0.34,0.6468845964614877
0.341,0.6469918942059061
0.342,0.646517628433648
0.343,0.6470788871226488
0.34400000000000003,0.6478568086040078
0.34500000000000003,0.6502386651227173
0.34600000000000003,0.6530237907114609
0.34700000000000003,0.6570733243252186
0.34800000000000003,0.6603875903035668
0.34900000000000003,0.6635720137772347
0.35000000000000003,0.6662608925830464
0.35100000000000003,0.6683767509878707
0.352,0.6711264299887861
0.353,0.6734085858111052
0.354,0.6765098487245734
0.355,0.680504492759851
0.356,0.6851937168503492
0.357,0.6894322657156365
0.358,0.6933382078313155
0.359,0.6967183769376349
0.36,0.6994806441659391
0.361,0.7020629364947856
0.362,0.7031791182760755
0.363,0.7025720336125812
0.364,0.7015626442659297
0.365,0.7022238605336761
0.366,0.7007271909000994
0.367,0.6999198864836821
0.368,0.6995410600746008
0.369,0.699729251030568
0.37,0.6989828284854966
0.371,0.6985473622232262
0.372,0.6999171924021693
0.373,0.7004123381983205
0.374,0.7006864784950365
0.375,0.701440746266287
0.376,0.7029911521759178
0.377,0.7053917541521643
0.378,0.7062863148843495
0.379,0.7076349268067168
0.38,0.7102559178505088
0.381,0.713501003229341
0.382,0.7161908791465705
0.383,0.7181098770019007
0.384,0.7204514798269726
0.385,0.7227370398430923
0.386,0.725159453868607
0.387,0.7281624369398233
0.388,0.7310432034227625
0.389,0.7345837136865818
0.39,0.7385758112200661
0.391,0.7420042545792745
0.392,0.7459151876848584
0.393,0.7501834160778849
0.394,0.7530052038458179
0.395,0.7555915142268919
0.396,0.758544739503225
0.397,0.7604385001996795
0.398,0.76202141142844
0.399,0.7653167560510249
0.4,0.7690733622425888
0.401,0.7729188220975898
0.402,0.7767585120852276
0.403,0.7805873040905289
0.404,0.7850349770068594
0.405,0.7892827558411963
0.406,0.7932687609668717
0.40700000000000003,0.7963783472152317
0.40800000000000003,0.7989579843372963
0.40900000000000003,0.8020334172928043
0.41000000000000003,0.8037119102313061
0.41100000000000003,0.8044379196739909
0.41200000000000003,0.804214442020137
0.41300000000000003,0.8037054473163365
0.41400000000000003,0.8039327432940131
0.41500000000000004,0.8051446385521559
0.41600000000000004,0.8061077958246456
0.417,0.8074428393344368
0.418,0.8079205797903354
0.419,0.8077470649603727
0.42,0.8059263296248519
0.421,0.8053265053618519
0.422,0.8054702803819959
0.423,0.8060967256725013
0.424,0.8054094693040595
0.425,0.8061015215738411
0.426,0.8081396885392631
0.427,0.8102323801847745
0.428,0.8123957370703733
0.429,0.814772888683927
0.43,0.8178206094218443
0.431,0.82001361208826
0.432,0.8223042257238469
0.433,0.8239925766990275
0.434,0.8262698984806408
0.435,0.8279662546943691
0.436,0.8293588640888657
0.437,0.8299593865837248
0.438,0.8300807226359403
0.439,0.8301440025115495
0.44,0.8297240677138424
0.441,0.8294632581087179
0.442,0.8296275490336413
0.443,0.8300874585314316
0.444,0.8311683378336928
0.445,0.8338014678039279
0.446,0.8353780446641508
0.447,0.8380257372788226
0.448,0.8408917338058147
0.449,0.8448895653068081
0.45,0.8474578899621746
0.451,0.8493464682990503
0.452,0.8504639904421453
0.453,0.8525192298729216
0.454,0.855037961569669
0.455,0.8572960140271246
0.456,0.8586501483651662
0.457,0.859936199859696
0.458,0.8610726779688097
0.459,0.8623017858015988
0.46,0.8621219226472222
0.461,0.8616157296211048
0.462,0.8613598163157654
0.463,0.8610442995032026
0.464,0.860930886553899
0.465,0.8603610773220834
0.466,0.8583318825403489
0.467,0.8561631786871723
0.468,0.8550873567590834
0.46900000000000003,0.8548547114376694
0.47000000000000003,0.854524874701361
0.47100000000000003,0.8556709396949508
0.47200000000000003,0.8570898497141916
0.47300000000000003,0.8575177140709026
0.47400000000000003,0.858058114420818
0.47500000000000003,0.8605383725047857
0.47600000000000003,0.8621872845943934
0.47700000000000004,0.8621291132995244
0.47800000000000004,0.8617384877279081
0.47900000000000004,0.8612066173727616
0.48,0.8612670089240808
0.481,0.8607616281681639
0.482,0.8597023006801847
0.483,0.8571900931757088
0.484,0.855329009260833
0.485,0.8540130866932174
0.486,0.8528685248256418
0.487,0.8519612389938823
0.488,0.8514456910575734
0.489,0.8512043385966547
0.49,0.8511448198108886
0.491,0.8513703018748928
0.492,0.8515599370929142
0.493,0.8515344279797379
0.494,0.8520754386035447
0.495,0.8521403793999233
0.496,0.8512142337948677
0.497,0.8516007805131006
0.498,0.8516113163887318
0.499,0.8510729051284137
0.5,0.8498971451574427
0.501,0.8484319773213278
0.502,0.8471904288417239
0.503,0.8478953243416952
0.504,0.848839799702697
0.505,0.8479951588406446
0.506,0.8467211296851063
0.507,0.8461141884725903
0.508,0.8449874874776806
0.509,0.8441767159270909
0.51,0.84320275273844
0.511,0.840839220292492
0.512,0.8388803780246615
0.513,0.8376615493699116
0.514,0.8371524526764418
0.515,0.8369744397946224
0.516,0.8379964230259028
0.517,0.8401788588476917
0.518,0.8424335034098336
0.519,0.8449210701388429
0.52,0.8467745133217917
0.521,0.8482240694951462
0.522,0.8488220715949156
0.523,0.8489308278947738
0.524,0.8493461276063039
0.525,0.849132725232379
0.526,0.848035564463949
0.527,0.8474565655352067
0.528,0.8478807885900461
0.529,0.8487653176016757
0.53,0.8498960172108331
0.531,0.8508290812513898
0.532,0.8508995716089061
0.533,0.8518261178367692
0.534,0.8529357893421301
0.535,0.8546816372563367
0.536,0.8548628145480843
0.537,0.8547090578832144
0.538,0.8543361816757689
0.539,0.8533922023432315
0.54,0.85182326966739
0.541,0.8514599250951993
0.542,0.8511050439180565
0.543,0.8506146316724332
0.544,0.8500056453959379
0.545,0.8491799080250703
0.546,0.849155438844608
0.547,0.8486770141963925
0.548,0.8485585913116185
0.549,0.848048358959864
0.55,0.8479372464079667
0.551,0.8488092464792082
0.552,0.8494526430259948
0.553,0.8492412580373891
0.554,0.8486812977992442
0.555,0.8470250127755558
0.556,0.8463074569294332
0.557,0.8460412806298887
0.558,0.845804103327388
0.559,0.8477339885057014
0.56,0.8490390277838472
0.561,0.8496492905880926
0.562,0.8525287605264089
0.5630000000000001,0.856167637420633
0.5640000000000001,0.859592389063792
0.5650000000000001,0.8626017731822402
0.5660000000000001,0.865569951869537
0.5670000000000001,0.8686787803858057
0.5680000000000001,0.8727682362453524
0.5690000000000001,0.8769442494565911
0.5700000000000001,0.8813980543881581
0.5710000000000001,0.8852193453622147
0.5720000000000001,0.8890922496213362
0.5730000000000001,0.8929132458316356
0.5740000000000001,0.897285288643868
0.5750000000000001,0.9015727768712287
0.5760000000000001,0.9058762607227477
0.577,0.9102217476453279
0.578,0.9148210516116896
0.579,0.9200204724091758
0.58,0.9253106315232533
0.581,0.9299615073501134
0.582,0.9336764302976029
0.583,0.9379631365203571
0.584,0.941737004331763
0.585,0.9452948238070437
0.586,0.9474353195546326
0.587,0.950493577263363
0.588,0.9533325439385761
0.589,0.9556074289671691
0.59,0.9582220128819743
0.591,0.9613369076741007
0.592,0.9629080488861307
0.593,0.9638645125316412
0.594,0.9643596799047072
0.595,0.96464507081387
0.596,0.964309322047309
0.597,0.9638796876904725
0.598,0.9646734351658919
0.599,0.9653736054492232
0.6,0.9660354749732808
0.601,0.9672407317502812
0.602,0.9668711474043492
0.603,0.9663993395890894
0.604,0.9671797157025386
0.605,0.968109251242385
0.606,0.9696087114432146
0.607,0.9704624586722335
0.608,0.9729928052282842
0.609,0.976619800520744
0.61,0.9784583475626992
0.611,0.9804877314138272
0.612,0.9837203181861613
0.613,0.9877626704066179
0.614,0.9922647404126539
0.615,0.9972503673746087
0.616,1.0034682841061175
0.617,1.0106166193614061
0.618,1.0178190429686238
0.619,1.0241672057977114
0.62,1.0306880786633967
0.621,1.0364613719360258
0.622,1.0424098193925593
0.623,1.049063519168946
0.624,1.0557049579661304
0.625,1.0622946187109543
0.626,1.0702363456277797
0.627,1.0793313272368381
0.628,1.0875035122154602
0.629,1.095845701059958
0.63,1.1036740518625119
0.631,1.110034656198863
0.632,1.1161104414160905
0.633,1.1226542731221163
0.634,1.128624233289897
0.635,1.1335077310152046
0.636,1.1382929867892366
0.637,1.142906403252041
0.638,1.1461332195004277
0.639,1.1485295737871453
0.64,1.1506596380389982
0.641,1.1523055788325354
0.642,1.1535978191987228
0.643,1.1540850487830883
0.644,1.1543952372773303
0.645,1.1547127188346515
0.646,1.1557163726528066
0.647,1.1575278506567563
0.648,1.1597811713606632
0.649,1.1612570441885965
0.65,1.1623614485990728
0.651,1.1633739841819428
0.652,1.1650003852586601
0.653,1.1672460711863921
0.654,1.169930038719639
0.655,1.1724930360600263
0.656,1.1745854439633345
0.657,1.1757155201440277
0.658,1.177758056657156
0.659,1.1789544822564684
0.66,1.1792900358305294
0.661,1.1792239162695177
0.662,1.1799831942601586
0.663,1.1814617277331605
0.664,1.1829637532319217
0.665,1.184817615392699
0.666,1.186745403050275
0.667,1.188572037541953
0.668,1.1907027123824383
0.669,1.1934146769872178
0.67,1.196630252527421
0.671,1.1999736917947328
0.672,1.2034104634675802
0.673,1.2077099439327605
0.674,1.211304122206332
0.675,1.2156401533472838
0.676,1.2208551342825904
0.677,1.2244320310090537
0.678,1.2260806552156216
0.679,1.2285457239311641
0.68,1.230122011339432
0.681,1.2303776112484426
0.682,1.2301859241605408
0.683,1.2297206907276004
0.684,1.2292458187822106
0.685,1.227831977386725
0.686,1.2249067083562297
0.687,1.2222475492701224
0.6880000000000001,1.2178558480691402
0.6890000000000001,1.2150101111200877
0.6900000000000001,1.2130624769779024
0.6910000000000001,1.2092656040934917
0.6920000000000001,1.204680375611617
0.6930000000000001,1.1993586440384467
0.6940000000000001,1.193833045056341
0.6950000000000001,1.1880902605859505
0.6960000000000001,1.1818893544913092
0.6970000000000001,1.1747541847985539
0.6980000000000001,1.1682877463285652
0.6990000000000001,1.1607462945456648
0.7000000000000001,1.1520122829472197
0.7010000000000001,1.1432386918368522
0.7020000000000001,1.132747660625994
0.7030000000000001,1.1209064225143197
0.704,1.109046784939998
0.705,1.0990887021210776
0.706,1.0901584656158825
0.707,1.0803763466989345
0.708,1.0704053053396896
0.709,1.0582222043941167
0.71,1.044638020235009
0.711,1.0325063041906215
0.712,1.0197776757812258
0.713,1.0060038933949957
0.714,0.9909249300156634
0.715,0.9749630857588962
0.716,0.9574304861445709
0.717,0.9396780973858669
0.718,0.922486704726979
0.719,0.9051767796397168
0.72,0.8878354455567501
0.721,0.871955453541174
0.722,0.8553389589636118
0.723,0.8401177186254197
0.724,0.8239362028728902
0.725,0.8084635462570031
0.726,0.7896382944401688
0.727,0.7689722582908031
0.728,0.7483363332360521
0.729,0.7280596240472221
0.73,0.7054244171861539
0.731,0.6830143200822163
0.732,0.6603615536352191
0.733,0.6360379278911072
0.734,0.6107354980281497
0.735,0.5819858013181706
0.736,0.5522795665366714
0.737,0.5229571843218801
0.738,0.48581902571589036
0.739,0.4492273757200448
0.74,0.41089883147803724
0.741,0.3717737303737449
0.742,0.33710774765761264
0.743,0.29861229446059157
0.744,0.26010765066542907
0.745,0.22026822685443528
0.746,0.17956988119593784
0.747,0.13845410931871133
0.748,0.09744527355109289
0.749,0.05694064954956173
0.75,0.0169604162617499
0.751,-0.021171938734350856
0.752,-0.05834854787799662
0.753,-0.09359827580330554
0.754,-0.12618865486235692
0.755,-0.15697975926266136
0.756,-0.18991158487661444
0.757,-0.22464342882176103
0.758,-0.26045298938845124
0.759,-0.2972302950485002
0.76,-0.33440840272692474
0.761,-0.37297077260743117
0.762,-0.41535242680026446
0.763,-0.4569530917339581
0.764,-0.49781850303896746
0.765,-0.536798994340661
0.766,-0.5743618222356842
0.767,-0.6106858399998533
0.768,-0.6451736148670737
0.769,-0.6795445124388342
0.77,-0.7119155204490242
0.771,-0.7430611041799735
0.772,-0.7753698241203628
0.773,-0.8064332757628149
0.774,-0.8372899075451273
0.775,-0.8681323594220433
0.776,-0.9021090854550251
0.777,-0.9337197406495282
0.778,-0.9633965356350218
0.779,-0.9926457772595967
0.78,-1.0218582599960087
0.781,-1.0494841238664947
0.782,-1.0778213305511644
0.783,-1.1066959739657891
0.784,-1.1342619554910136
0.785,-1.1631148152342698
0.786,-1.1914766981196765
0.787,-1.2214370700311976
0.788,-1.2511732956884094
0.789,-1.2725593721332074
0.79,-1.2938860234939793
0.791,-1.314285214905066
0.792,-1.3345007905691058
0.793,-1.3576009569947938
0.794,-1.3766021589126742
0.795,-1.3946349015559256
0.796,-1.410467608974759
0.797,-1.4248131977917047
0.798,-1.4370304145280088
0.799,-1.4481839718677312
0.8,-1.4606688154083263
0.801,-1.4727065765482807
0.802,-1.485912360729306
0.803,-1.4984723353587617
0.804,-1.5092638613755684
0.805,-1.5209482302836774
0.806,-1.5357146889503515
0.807,-1.5530054215634295
0.808,-1.5716202817770144
0.809,-1.5906938500096335
0.81,-1.6101925997863227
0.811,-1.62922055330987
0.812,-1.648338786367447
0.8130000000000001,-1.665676320924973
0.8140000000000001,-1.6834849361244624
0.8150000000000001,-1.700288982733416
0.8160000000000001,-1.7182521308580063
0.8170000000000001,-1.7372601274766872
0.8180000000000001,-1.756469027295494
0.8190000000000001,-1.7746888005326429
0.8200000000000001,-1.7913626603195825
0.8210000000000001,-1.807025816599767
0.8220000000000001,-1.823158161398215
0.8230000000000001,-1.8385789810187607
0.8240000000000001,-1.8532370762273054
0.8250000000000001,-1.867795531476283
0.8260000000000001,-1.8778749014748537
0.8270000000000001,-1.884795149430352
0.8280000000000001,-1.8909581492661252
0.8290000000000001,-1.896814116319861
0.8300000000000001,-1.9029577353564973
0.8310000000000001,-1.908745763457893
0.8320000000000001,-1.9143179518717612
0.833,-1.920025910398334
0.834,-1.9259197950501215
0.835,-1.9326283744356738
0.836,-1.9372525712940163
0.837,-1.9419640927038502
0.838,-1.944501468827248
0.839,-1.9469028163082958
0.84,-1.950513270549637
0.841,-1.954376886236684
0.842,-1.956526079233915
0.843,-1.957718982638075
0.844,-1.9583965917285893
0.845,-1.9566461112265674
0.846,-1.9560326316754886
0.847,-1.956256309748304
0.848,-1.9551259305104007
0.849,-1.9548821879559282
0.85,-1.955758829519896
0.851,-1.9562226362881852
0.852,-1.957147629947267
0.853,-1.9549550433062726
0.854,-1.9518548518143986
0.855,-1.9500575718660091
0.856,-1.948606872226679
0.857,-1.945441305870007
0.858,-1.9400940029211549
0.859,-1.9348932849991192
0.86,-1.9305464663219196
0.861,-1.9269919456651319
0.862,-1.9237438077975801
0.863,-1.9196803010479269
0.864,-1.9169214589053543
0.865,-1.9150851494892338
0.866,-1.9152798808541505
0.867,-1.9169143707178589
0.868,-1.917623848392524
0.869,-1.914899344341193
0.87,-1.9119928260832875
0.871,-1.9072774518351754
0.872,-1.9031286587528717
0.873,-1.8959195808017795
0.874,-1.886629090264666
0.875,-1.8778186787984557
0.876,-1.868330432507988
0.877,-1.8630619334220253
0.878,-1.8598136824531342
0.879,-1.8564572591447854
0.88,-1.8538034783646715
0.881,-1.850294067542906
0.882,-1.8468515773224878
0.883,-1.8425452581100596
0.884,-1.8377331574032476
0.885,-1.8329452363196
0.886,-1.8271009820969786
0.887,-1.8214539337014537
0.888,-1.8156557892818397
0.889,-1.8097034316747544
0.89,-1.8034600495867055
0.891,-1.7975851034414052
0.892,-1.7894958009416513
0.893,-1.781238922001847
0.894,-1.7724166269705346
0.895,-1.763871185016875
0.896,-1.757357744705773
0.897,-1.750192725917084
0.898,-1.7427854473294655
0.899,-1.737426188587052
0.9,-1.7305705757771013
0.901,-1.7206005917599663
0.902,-1.7085879161720647
0.903,-1.695051395566753
0.904,-1.683929611105084
0.905,-1.676395439816694
0.906,-1.6688884301655922
0.907,-1.6617197231914878
0.908,-1.6556205815783183
0.909,-1.6493561561928884
0.91,-1.6411681383427714
0.911,-1.6330769751178589
0.912,-1.6251119653826955
0.913,-1.6181968761387704
0.914,-1.6127713628745852
0.915,-1.6074136576861957
0.916,-1.5997920500393075
0.917,-1.5911727895415089
0.918,-1.5789392107169995
