,Unnamed: 0,star_id,ra,dec,dist,period,time,mag,mag_err
354,354,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56185.32287511835,20.173664,0.111255
355,355,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56185.36547569558,20.172289,0.169042
356,356,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56211.18275326071,20.824444,0.242941
357,357,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56211.26746931858,20.835517,0.033541
358,358,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56246.0789122642,20.521963,0.151619
359,359,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56250.151603832375,20.475994,0.215367
360,360,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56508.29959214712,20.484348,0.270514
361,361,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56510.38138523372,20.175552,0.10782
362,362,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56510.417713779025,20.211552,0.179161
363,363,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56514.36211448395,20.739711,0.115814
364,364,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56514.399727538694,20.783309,0.200693
365,365,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56516.37350866385,20.054155,0.168953
366,366,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56516.41667681048,20.920432,0.151693
367,367,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56518.35807310138,20.398708,0.184126
368,368,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56560.25057708984,20.19572,0.196105
369,369,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56562.2283786973,20.273338,0.13467
370,370,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56568.212727648206,20.712353,0.131699
371,371,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56570.207179284655,20.451627,0.184388
372,372,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56576.19028345356,20.363766,0.10094
373,373,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56618.067895328626,20.643511,0.243464
374,374,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56620.147600786295,20.57254,0.164121
375,375,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56622.05870460021,20.427199,0.174018
376,376,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56622.1430662889,20.525831,0.270634
377,377,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56626.05217499193,20.76151,0.238435
378,378,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56628.03730997769,20.355639,0.174003
379,379,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56628.12154506473,20.669178,0.136541
380,380,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56630.035818484146,20.711159,0.111245
381,381,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56630.118757525925,20.76796,0.132227
382,382,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56832.43238606071,20.530635,0.224962
383,383,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56836.31924758153,20.250738,0.133289
384,384,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56836.38501008041,19.937668,0.148764
385,385,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56838.38065945823,20.389448,0.173132
386,386,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56840.36403510673,20.927683,0.170714
387,387,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56840.40629092092,20.346832,0.148656
388,388,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56844.366185717285,19.959995,0.081598
389,389,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56846.33746225573,20.251494,0.158756
390,390,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56846.39337465819,20.428831,0.178696
391,391,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56856.34810170205,20.113237,0.140052
392,392,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56858.274350268766,20.670945,0.276356
393,393,591,13.06916373,-31.17999115,132027.6875,0.6890466088477385,56970.01510985289,20.214588,0.161914
