star_id,ra,dec,dist,period,time,flux,flux_err
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,55409.36737656919,12.764109,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,55430.30753629608,12.861715,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,55438.30454778997,13.122611,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56083.42362920893,12.898394,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56087.31668900093,13.054218,0.033053
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56087.38329804549,13.265315,0.034985
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56089.373788135126,12.92433,0.110373
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56089.413255739026,13.022917,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56109.318889956456,12.87366,0.032173
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56109.38411929272,13.055268,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56111.323462104425,12.92068,0.032282
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56111.40966269467,12.831314,0.032634
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56114.244206493255,12.937823,0.031465
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56114.32745541539,13.182571,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56116.317625724245,12.863803,0.034966
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56116.416730160825,13.15528,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56136.25260925386,12.810507,0.030743
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56136.33578616707,13.024272,0.03119
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56138.325988392346,12.805419,0.03116
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56138.400762946345,12.899306,0.031324
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56144.24291500077,12.872969,0.033299
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56144.32675083913,12.89491,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56148.25178559031,13.104735,0.032165
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56148.336627960205,13.271426,0.108448
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56166.37861526571,12.83271,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56166.41085752379,12.918689,0.031122
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56168.21540487697,13.120247,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56168.301067841705,13.254711,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56168.36426771153,12.976354,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56168.39419535501,12.861785,0.030892
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56175.22910232982,13.143211,0.031218
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56175.31219595391,13.107583,0.071513
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56177.229204997886,12.867411,0.035293
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56177.23037386313,12.847932,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56183.222811548505,12.933952,0.030724
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56183.223980414215,12.921897,0.030946
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56183.30627550185,13.201456,0.032272
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56183.30744436709,13.166409,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56185.217787785456,12.799018,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56185.30107817054,12.884665,0.031192
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56187.36453223275,12.817254,0.032025
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56187.366869966034,12.842789,0.04036
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56187.375572814606,12.896583,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56187.37674168078,12.865517,0.038652
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56189.20467584906,13.039978,0.032256
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56189.205844716635,13.052061,0.030771
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56189.35056436155,13.086251,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56189.35173322866,13.057328,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56193.19489014149,13.113666,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56193.30952030048,12.741574,0.032228
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56195.18723371858,13.168953,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56195.18841416109,13.155059,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56195.270524377935,13.209696,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56195.271693247836,13.201429,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56200.31023517344,12.874393,0.031169
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56200.31141561968,12.796322,0.030594
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56200.32740950771,12.883297,0.0386
80,1.27627329,-12.07824469,4203.918945,0.3501281288770333,56200.32858995395,12.890306,0.030594
