star_id,ra,dec,dist,period,time,flux,flux_err
56,0.87125084,-13.04006914,124412.210938,0.3818916414289514,55446.08870498696,20.320591,0.175394
56,0.87125084,-13.04006914,124412.210938,0.3818916414289514,55446.25278597418,20.619035,0.201418
56,0.87125084,-13.04006914,124412.210938,0.3818916414289514,55446.33437512303,20.488384,0.214448
56,0.87125084,-13.04006914,124412.210938,0.3818916414289514,55455.05873303441,20.648932,0.199467
56,0.87125084,-13.04006914,124412.210938,0.3818916414289514,55455.15190674877,20.303421,0.116623
56,0.87125084,-13.04006914,124412.210938,0.3818916414289514,55455.25672283955,20.187451,0.217633
56,0.87125084,-13.04006914,124412.210938,0.3818916414289514,55473.034979914315,20.649672,0.205798
56,0.87125084,-13.04006914,124412.210938,0.3818916414289514,55473.040118342265,20.629421,0.208371
56,0.87125084,-13.04006914,124412.210938,0.3818916414289514,55473.118236334994,20.032873,0.182735
56,0.87125084,-13.04006914,124412.210938,0.3818916414289514,55473.123340043705,20.132695,0.108341
56,0.87125084,-13.04006914,124412.210938,0.3818916414289514,55473.201411749236,20.252399,0.270993
56,0.87125084,-13.04006914,124412.210938,0.3818916414289514,55473.20655017765,20.21951,0.188858
56,0.87125084,-13.04006914,124412.210938,0.3818916414289514,55476.0771410563,20.62668,0.255363
56,0.87125084,-13.04006914,124412.210938,0.3818916414289514,55824.13662285032,20.086932,0.16871
56,0.87125084,-13.04006914,124412.210938,0.3818916414289514,55824.21198588703,20.457258,0.126606
56,0.87125084,-13.04006914,124412.210938,0.3818916414289514,55826.11500738608,20.337658,0.134
56,0.87125084,-13.04006914,124412.210938,0.3818916414289514,55826.16326661268,20.653347,0.159838
56,0.87125084,-13.04006914,124412.210938,0.3818916414289514,55828.23828698369,20.270576,0.115271
56,0.87125084,-13.04006914,124412.210938,0.3818916414289514,55828.29133746214,20.24068,0.14469
56,0.87125084,-13.04006914,124412.210938,0.3818916414289514,55830.02178601967,20.65388,0.199864
56,0.87125084,-13.04006914,124412.210938,0.3818916414289514,56097.369650634006,20.647569,0.178537
56,0.87125084,-13.04006914,124412.210938,0.3818916414289514,56109.38524960866,20.175569,0.255694
56,0.87125084,-13.04006914,124412.210938,0.3818916414289514,56136.33690184262,20.639984,0.194328
