star_id,ra,dec,dist,period,time,flux,flux_err
138,2.43378,-33.989096,5929.634766,0.6048868134998893,55447.152894652914,14.146774,0.031151
138,2.43378,-33.989096,5929.634766,0.6048868134998893,55447.238014687784,13.282204,0.030594
138,2.43378,-33.989096,5929.634766,0.6048868134998893,55476.16789373569,14.002237,0.030594
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56226.040756298695,14.026676,0.031794
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56226.056808771566,14.028796,0.030641
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56226.1249768096,14.021961,0.030602
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56226.14055476943,14.054461,0.0323
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56232.046174695715,13.915616,0.031225
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56232.120176358614,14.010132,0.030594
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56232.13075463893,14.057642,0.031532
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56234.04650215898,14.007231,0.03125
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56234.12075863965,14.143343,0.031007
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56234.13447340531,14.128585,0.031606
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56236.05271443445,13.231096,0.030594
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56236.06445013778,13.195862,0.030594
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56236.14279232873,13.524131,0.030594
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56236.148648607545,13.548402,0.031758
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56238.0746030095,13.865847,0.030594
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56238.08619986102,13.874858,0.030594
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56238.16977358516,14.043832,0.030594
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56240.0723428647,14.037332,0.030792
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56240.145280555356,14.11193,0.031912
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56240.155847378075,14.127832,0.030594
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56242.064359304495,13.129298,0.030594
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56244.05555962771,13.690372,0.031818
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56244.06378860073,13.683453,0.031185
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56244.13882156275,13.878094,0.032106
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56244.14703896316,13.903397,0.030594
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56246.05017989781,14.03803,0.034654
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56246.05840889411,14.030721,0.030967
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56248.05251408601,14.078481,0.030594
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56248.1288090297,13.040361,0.031133
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56248.135857516434,13.04329,0.031736
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56250.042007041164,13.482424,0.031138
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56250.04553708108,13.522094,0.030594
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56250.1253854339,13.708421,0.032577
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56250.12889232626,13.769656,0.030594
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56252.04275560845,13.992306,0.030594
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56252.126944419,14.073683,0.036799
138,2.43378,-33.989096,5929.634766,0.6048868134998893,56498.19569044234,13.913775,0.037111
